benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,parallel_ir,omp_calls_out,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded,fused_ir,br_i1_in,br_i1_out
fuse12_affine_double,Fusion+Shared,2,0.013602,1,0,0,0,1,1,1,1,1,2,1
fuse12_affine_double,Fusion+Shared,4,0.009968,1,0,0,0,1,1,1,1,1,2,1
fuse12_affine_double,Fusion+Shared,8,0.012588,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,NoPass,1,0.009518,0,0,0,0,0,0,0,0,0,0,0
fuse14_int32_affine,OriginalPass,2,0.009412,2,0,0,0,0,0,0,0,0,2,2
fuse14_int32_affine,OriginalPass,4,0.006587,2,0,0,0,0,0,0,0,0,2,2
fuse14_int32_affine,OriginalPass,8,0.006535,2,0,0,0,0,0,0,0,0,2,2
fuse14_int32_affine,Fusion,2,0.007465,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,Fusion,4,0.005039,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,Fusion,8,0.005057,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,Fusion+Shared,2,0.007798,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,Fusion+Shared,4,0.005052,1,0,0,0,1,1,1,1,1,2,1
fuse14_int32_affine,Fusion+Shared,8,0.005046,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,NoPass,1,0.016597,0,0,0,0,0,0,0,0,0,0,0
fuse15_uint16_mix,OriginalPass,2,0.017014,2,0,0,0,0,0,0,0,0,2,2
fuse15_uint16_mix,OriginalPass,4,0.012897,2,0,0,0,0,0,0,0,0,2,2
fuse15_uint16_mix,OriginalPass,8,0.012944,2,0,0,0,0,0,0,0,0,2,2
fuse15_uint16_mix,Fusion,2,0.011972,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,Fusion,4,0.008650,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,Fusion,8,0.008715,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,Fusion+Shared,2,0.012038,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,Fusion+Shared,4,0.008683,1,0,0,0,1,1,1,1,1,2,1
fuse15_uint16_mix,Fusion+Shared,8,0.008724,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,NoPass,1,0.012201,0,0,0,0,0,0,0,0,0,0,0
fuse16_struct_store,OriginalPass,2,0.011313,2,0,0,0,0,0,0,0,0,2,2
fuse16_struct_store,OriginalPass,4,0.008191,2,0,0,0,0,0,0,0,0,2,2
fuse16_struct_store,OriginalPass,8,0.008185,2,0,0,0,0,0,0,0,0,2,2
fuse16_struct_store,Fusion,2,0.010666,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,Fusion,4,0.007752,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,Fusion,8,0.007748,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,Fusion+Shared,2,0.010776,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,Fusion+Shared,4,0.007766,1,0,0,0,1,1,1,1,1,2,1
fuse16_struct_store,Fusion+Shared,8,0.007768,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,NoPass,1,0.000300,0,0,0,0,0,0,0,0,0,0,0
fuse17_flat_2d,OriginalPass,2,0.000292,2,0,0,0,0,0,0,0,0,2,2
fuse17_flat_2d,OriginalPass,4,0.000165,2,0,0,0,0,0,0,0,0,2,2
fuse17_flat_2d,OriginalPass,8,0.000161,2,0,0,0,0,0,0,0,0,2,2
fuse17_flat_2d,Fusion,2,0.000150,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,Fusion,4,0.000085,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,Fusion,8,0.000083,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,Fusion+Shared,2,0.000140,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,Fusion+Shared,4,0.000084,1,0,0,0,1,1,1,1,1,2,1
fuse17_flat_2d,Fusion+Shared,8,0.000084,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,NoPass,1,0.013632,0,0,0,0,0,0,0,0,0,0,0
fuse18_uint32_bitops,OriginalPass,2,0.013823,2,0,0,0,0,0,0,0,0,2,2
fuse18_uint32_bitops,OriginalPass,4,0.010187,2,0,0,0,0,0,0,0,0,2,2
fuse18_uint32_bitops,OriginalPass,8,0.010207,2,0,0,0,0,0,0,0,0,2,2
fuse18_uint32_bitops,Fusion,2,0.009517,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,Fusion,4,0.006640,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,Fusion,8,0.006613,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,Fusion+Shared,2,0.009804,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,Fusion+Shared,4,0.006631,1,0,0,0,1,1,1,1,1,2,1
fuse18_uint32_bitops,Fusion+Shared,8,0.006620,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,NoPass,1,0.009639,0,0,0,0,0,0,0,0,0,0,0
fuse19_stride3,OriginalPass,2,0.009552,2,0,0,0,0,0,0,0,0,2,2
