benchmark,NoPass,OriginalPass,Fusion,Fusion+Shared
fuse01_independent_constN,0.006798,0.006815,0.004204,0.004178
fuse06_stride2,0.00972,0.006579,0.004554,0.004519
fuse08_int_arrays,0.009656,0.00653,0.003694,0.003697
fuse09_2d_rows,0.009589,0.006527,0.003797,0.003804
fuse11_affine_float,0.009857,0.006534,0.004035,0.004027
fuse14_int32_affine,0.009615,0.006533,0.005032,0.005043
fuse15_uint16_mix,0.016962,0.012939,0.00867,0.008673
fuse16_struct_store,0.012352,0.008142,0.007713,0.007738
fuse17_flat_2d,0.000276,0.000165,8.3e-05,8.2e-05
fuse18_uint32_bitops,0.013831,0.010202,0.006611,0.006644
fuse19_stride3,0.009585,0.006604,0.005167,0.005191
fuse21_int_math_float_out,0.009824,0.006549,0.00548,0.005452
fuse22_small_values,0.014778,0.010835,0.007124,0.007138
fuse23_mixed_outputs,0.009765,0.00657,0.003811,0.003804
fuse_should_fuse,0.006809,0.006815,0.003955,0.003935
