benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,parallel_ir,omp_calls_out,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded,fused_ir,br_i1_in,br_i1_out
fuse_should_fuse,NoPass,1,0.006809,0,0,0,0,0,0,0,0,0,0,0
fuse_should_fuse,OriginalPass,2,0.006815,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,4,0.006828,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,8,0.006819,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,Fusion,2,0.003955,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,4,0.003972,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,8,0.003960,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,2,0.003935,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,4,0.003984,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,8,0.003976,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,NoPass,1,0.006798,0,0,0,0,0,0,0,0,0,0,0
fuse01_independent_constN,OriginalPass,2,0.006820,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,4,0.006855,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,8,0.006815,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,Fusion,2,0.004204,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,4,0.004233,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,8,0.004212,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,2,0.004178,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,4,0.004203,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,8,0.004203,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,NoPass,1,0.009720,0,0,0,0,0,0,0,0,0,0,0
fuse06_stride2,OriginalPass,2,0.009388,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,OriginalPass,4,0.006638,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,OriginalPass,8,0.006579,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,Fusion,2,0.006880,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion,4,0.004554,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion,8,0.004556,1,0,0,0,1,1,1,1,1,2,1
