benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,parallel_ir,omp_calls_out,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded,fused_ir,br_i1_in,br_i1_out
fuse_should_fuse,NoPass,1,0.009585,0,0,0,0,0,0,0,0,0,0,0
fuse_should_fuse,OriginalPass,2,0.009549,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,4,0.006684,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,8,0.006537,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,Fusion,2,0.005804,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,4,0.003850,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,8,0.003886,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,2,0.005976,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,4,0.003791,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,8,0.003800,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,NoPass,1,0.009923,0,0,0,0,0,0,0,0,0,0,0
fuse01_independent_constN,OriginalPass,2,0.009592,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,4,0.006544,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,8,0.006555,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,Fusion,2,0.006156,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,4,0.004029,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,8,0.003991,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,2,0.005753,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,4,0.004015,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,8,0.004017,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,NoPass,1,0.009549,0,0,0,0,0,0,0,0,0,0,0
fuse06_stride2,OriginalPass,2,0.009633,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,OriginalPass,4,0.006668,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,OriginalPass,8,0.006619,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,Fusion,2,0.006700,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion,4,0.004558,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion,8,0.004544,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion+Shared,2,0.006809,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion+Shared,4,0.004518,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,Fusion+Shared,8,0.004541,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,NoPass,1,0.009839,0,0,0,0,0,0,0,0,0,0,0
fuse08_int_arrays,OriginalPass,2,0.008812,2,0,0,0,0,0,0,0,0,2,2
fuse08_int_arrays,OriginalPass,4,0.006534,2,0,0,0,0,0,0,0,0,2,2
fuse08_int_arrays,OriginalPass,8,0.006541,2,0,0,0,0,0,0,0,0,2,2
fuse08_int_arrays,Fusion,2,0.005789,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,Fusion,4,0.003676,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,Fusion,8,0.003713,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,Fusion+Shared,2,0.005750,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,Fusion+Shared,4,0.003730,1,0,0,0,1,1,1,1,1,2,1
fuse08_int_arrays,Fusion+Shared,8,0.003745,1,0,0,0,1,1,1,1,1,2,1
fuse09_2d_rows,NoPass,1,0.009607,0,0,0,0,0,0,0,0,0,0,0
fuse09_2d_rows,OriginalPass,2,0.009549,2,0,0,0,0,0,0,0,0,2,2
fuse09_2d_rows,OriginalPass,4,0.006554,2,0,0,0,0,0,0,0,0,2,2
fuse09_2d_rows,OriginalPass,8,0.006568,2,0,0,0,0,0,0,0,0,2,2
fuse09_2d_rows,Fusion,2,0.005827,1,0,0,0,1,1,1,1,1,2,1
fuse09_2d_rows,Fusion,4,0.003819,1,0,0,0,1,1,1,1,1,2,1
